date,IMEI,Longitude0,latitude0,Longitude1,latitude1,Longitude2,latitude2,Longitude3,latitude3,Longitude4,latitude4,Longitude5,latitude5,Longitude6,latitude6,Longitude7,latitude7,Longitude8,latitude8,Longitude9,latitude9,Longitude10,latitude10,Longitude11,latitude11,Longitude12,latitude12,Longitude13,latitude13,Longitude14,latitude14,Longitude15,latitude15,Longitude16,latitude16,Longitude17,latitude17,Longitude18,latitude18,Longitude19,latitude19,Longitude20,latitude20,Longitude21,latitude21,Longitude22,latitude22,Longitude23,latitude23
20160105,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20160106,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,,,,,,,,,,,,,,,,,,
20160104,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,,,,,121.2839,31.34085001,,,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,,
20160103,ff7cfb0e717cc3a48af443209168ef92,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.29018,31.32896001,,,121.29018,31.32896001,,,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.41694,31.24027001,121.29018,31.32896001,,,121.2839,31.34085001,121.2839,31.34085001
20151229,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29852,31.35621001,121.2839,31.34085001,121.2839,31.34085001,121.29852,31.35621001,121.29852,31.35621001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151230,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151227,ff7cfb0e717cc3a48af443209168ef92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.41694,31.24027001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151228,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29852,31.35621001,,,121.2839,31.34085001,,,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151231,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.26525,31.38430001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,,,,,121.2839,31.34085001
20160101,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.273624,31.34573201,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.50716,31.23699001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20160102,ff7cfb0e717cc3a48af443209168ef92,,,,,,,,,,,,,,,,,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29018,31.32896001,121.29018,31.32896001
20151229,99e7e093f00fa32f36b051c18de98380,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5225,31.25561001,121.46884,31.19959001,121.521368,31.27020701,,,,,,,,,,,,,,,,
20151230,99e7e093f00fa32f36b051c18de98380,,,,,,,,,,,,,,,121.37377,31.19142001,121.43454,31.17283001,121.4533306,31.1772195,,,,,,,,,,,,,,,,,,,,,121.40944,31.19750001,,,,,,
20151231,99e7e093f00fa32f36b051c18de98380,,,,,,,121.4038806,31.1163806,,,,,,,,,,,121.445,31.17361001,121.43454,31.17283001,,,,,,,,,121.445,31.17361001,121.4396,31.19247001,,,,,,,,,,,,,,
20160105,99e7e093f00fa32f36b051c18de98380,,,,,,,,,,,,,,,,,121.43836,31.17620001,,,,,,,,,,,,,,,,,121.40944,31.19750001,,,,,,,,,,,,
20160106,99e7e093f00fa32f36b051c18de98380,,,,,,,,,,,,,,,,,,,121.4533306,31.1772195,121.445,31.17361001,,,,,,,,,,,,,,,,,,,,,,,,,,
20160104,99e7e093f00fa32f36b051c18de98380,,,,,,,,,,,,,,,121.37377,31.19142001,,,,,,,,,,,,,,,,,,,121.40944,31.19750001,,,,,,,,,,,,
20160102,99e7e093f00fa32f36b051c18de98380,,,,,,,,,,,,,,,,,,,,,121.00881,31.00013001,121.00881,31.00013001,,,,,,,,,,,,,,,,,,,,,,,,
20160103,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.7488889,31.1908306,,,,,,,,,,,,
20160104,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.50745,30.92202,,,,,,
20160106,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,121.44609,31.20208001,,,,,121.45101,31.20622001,,,121.3797194,30.9991611,,,,,,,,,,,,,,,,,,,,
20151229,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,,,,,,,,,,,121.45354,31.20520001,,,,,,,121.3407694,30.9990889,,,,,,,,,,,,
20151231,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,,,,,,,,,121.4105611,31.1758306,,,,,,,,,,,,,,,,,,,,,,
20151230,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,121.44526,31.20086001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20151228,40fe7f8e47c3e89a4d4551c855df46f8,,,,,,,,,,,,,,,,,,,,,121.45101,31.20622001,,,,,,,,,,,,,,,,,,,,,,,,,,
20151228,bf3f04034044fd5c9d5f9445c3a3eda3,121.40333,31.21361,121.38982,31.21461,121.38982,31.21461,,,121.38982,31.21461,121.38982,31.21461,121.38982,31.21461,121.38982,31.21461,121.39863,31.22609,121.5147611,31.2452,121.52766,31.2629,121.52591,31.26067,121.52766,31.2629,121.52766,31.2629,,,121.52766,31.2629,121.52766,31.2629,121.52766,31.2629,,,,,121.52766,31.2629,121.51513,31.25674,,,121.38982,31.21461
20151227,bf3f04034044fd5c9d5f9445c3a3eda3,,,,,,,,,,,,,,,,,121.38982,31.21461,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.49228,31.26182,121.50111,31.27028,,,121.40333,31.21361,121.38982,31.21461,121.40333,31.21361
20160105,bf3f04034044fd5c9d5f9445c3a3eda3,121.39694,31.21583,,,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,121.38982,31.21461,,,121.39694,31.21583,,,121.43111,31.25972001,,,121.49751,31.26449001,121.49751,31.26449001,,,121.49751,31.26449001,121.49751,31.26449001,121.49751,31.26449001,121.49751,31.26449001,,,121.49751,31.26449001,121.49751,31.26449001,121.3923405,31.21412391,121.39637,31.21376001,121.38982,31.21461
20160106,bf3f04034044fd5c9d5f9445c3a3eda3,121.38982,31.21461,121.38982,31.21461,121.38982,31.21461,121.38982,31.21461,121.39694,31.21583,121.38982,31.21461,121.39694,31.21583,121.39694,31.21583,121.38982,31.21461,,,121.52766,31.2629,121.52766,31.2629,121.52766,31.2629,121.52766,31.2629,121.52766,31.2629,,,,,,,,,,,,,,,,,,
20151231,bf3f04034044fd5c9d5f9445c3a3eda3,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,121.39694,31.21583,,,121.43721,31.25667,121.49228,31.26182,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.50111,31.27028,121.49751,31.26449001,121.50111,31.27028,121.49228,31.26182,,,121.50111,31.27028,,,121.41549,31.22115,121.38982,31.21461,,
